CalcLineID,FullKey,Weight,Notes,ShortKey,In FIN Data Flow,CalcandKey,Count
14,0000000100,1,ADD: Calculated Oil Turnover (Oil TO),100,Yes,14100,1
14,0000000110,1,ADD: Oil TO Generated from Royalty Volumes,110,Yes,14110,1
14,0000000120,1,ADD: Oil TO Generated from Purchase for Resale,120,Yes,14120,1
14,0000000220,1,ADD: Calculated NGL Turnover (NGL TO),220,Yes,14220,1
14,0000000230,1,ADD: NGL TO Generated from Royalty Volumes,230,Yes,14230,1
14,0000000240,1,ADD: NGL TO Generated from Purchase for Resale,240,Yes,14240,1
14,0000000340,1,ADD: Calculated Gas Turnover (Gas TO),340,Yes,14340,1
14,0000000350,1,ADD: Gas TO Generated from Royalty Volumes,350,Yes,14350,1
14,0000000360,1,ADD: Gas TO Generated from Purchase for Resale,360,Yes,14360,1
14,0000000380,1,ADD: Tariff and Other Turnover,380,Yes,14380,1
14,0000000420,1,ADD: Purchases,420,Yes,14420,1
14,0000000430,1,ADD: Production Taxes Charged,430,Yes,14430,1
14,0000000440,1,ADD: Royalty Charged,440,Yes,14440,1
14,0000000450,1,ADD: Other Government Take Charged,450,Yes,14450,1
14,0000000630,1,ADD: Decommissioning Payments,630,Yes,14630,1
14,0000000631,1,ADD: Exploration Write-off Dry Hole - Input,631,Yes,14631,1
14,0000000640,1,ADD: Forex,640,Yes,14640,1
14,0000000650,1,ADD: COSA,650,Yes,14650,1
14,0000000660,1,ADD: Inventory,660,Yes,14660,1
14,0000000670,1,ADD: Other Provisions,670,Yes,14670,1
14,0000000700,1,ADD: Impairment - Tangible Assets and other NOI,700,Yes,14700,1
14,0000000730,1,ADD: Related Company Income- Gross,730,Yes,14730,1
14,0000000781,1,ADD: Profit/Loss on sale of operations,781,Yes,14781,1
14,0000000790,1,ADD: Development Capex – D&C,790,Yes,14790,1
14,0000000800,1,ADD: Development Capex – Other,800,Yes,14800,1
14,0000000820,1,ADD: Inorganic Capex,820,Yes,14820,1
14,0000000830,1,ADD: Capitalised Interest,830,Yes,14830,1
14,0000000850,1,ADD: Production Costs – Operating,850,Yes,14850,1
14,0000000870,1,ADD: Other Opex,870,Yes,14870,1
14,0000000880,1,ADD: Production Costs – Revex,880,Yes,14880,1
14,0000000890,1,ADD: E&A Cash Costs,890,Yes,14890,1
14,0000000900,1,ADD: Other Revex,900,Yes,14900,1
14,0000000910,1,ADD: Production Costs – Overheads,910,Yes,14910,1
14,0000000920,1,ADD: Overheads,920,Yes,14920,1
14,0000000921,1,ADD: Special Items - Cash Cost Ratex,921,Yes,14921,1
14,0000001190,1,ADD: COSA - copy 1 (reversed),1190,Yes,141190,1
14,0000001220,1,ADD: E&A- Drilling,1220,Yes,141220,1
14,0000001230,1,ADD: E&A- Other,1230,Yes,141230,1
14,0000001240,1,ADD: Midstream Capex,1240,Yes,141240,1
14,0000001250,1,ADD: Interest & Dividends Receivable,1250,Yes,141250,1
14,0000001360,1,ADD: Payments from Other Provisions,1360,Yes,141360,1
14,0000001380,1,ADD: Capitalised Interest Paid,1380,Yes,141380,1
14,0000001390,1,ADD: Interest Received,1390,Yes,141390,1
14,0000001600,1,ADD: Movement in Capex Creditors,1600,Yes,141600,1
14,0000001620,1,ADD: Cash Flow from Sale of Operations,1620,Yes,141620,1
14,0000001690,1,ADD: Other Non Cash Items add back -Input,1690,Yes,141690,1
14,0000001730,1,ADD: M&T Cash Costs,1730,Yes,141730,1
14,0000002840,1,ADD: Other Income Input,2840,Yes,142840,1
14,0000002920,1,ADD: Share of interest expense in Related Company,2920,Yes,142920,1
14,0000003760,1,ADD: Capitalised Interest Paid - copy 1 (reversed),3760,Yes,143760,1
14,0000008010,1,ADD: Exploration Write-off Dry Hole (BU Owned),8010,Yes,148010,1
14,0000010210,1,ADD: Impairment - Expl Leasehold,10210,Yes,1410210,1
14,0000012180,1,ADD: Exploration WO Dry Hole (reversed),12180,Yes,1412180,1
14,0000012190,1,ADD: Other Provisions (reversed),12190,Yes,1412190,1
14,0000012200,1,ADD: Total DDA & Impairments (reversed),12200,Yes,1412200,1
14,0000012660,1,ADD: Special Items Non-cash Costs (reversed),12660,Yes,1412660,1
14,0000012670,1,ADD: Related Company Income (reversed),12670,Yes,1412670,1
14,0000012680,1,ADD: P/L on Sale of Operations (reversed),12680,Yes,1412680,1
14,0000012745,1,ADD: Cash Flow from Loan Repayments,12745,Yes,1412745,1
14,0000013522,1,ADD: Total Inventory - Product & Stores CF,13522,Yes,1413522,1
14,0000013524,1,ADD: Total Debtors CF,13524,Yes,1413524,1
