Account ID,Description,FullKey,Type
1,Liquids Production (mboed),0000000001,Calc
3,Gross Margin,0000000003,Calc
4,Total Cash Costs,0000000004,Calc
5,Production Costs,0000000005,Calc
6,DD&A Charge,0000000006,Calc
7,Related Company Income,0000000007,Calc
8,EBITDA,0000000008,Calc
9,Underlying RCOP,0000000009,Calc
10,Working Capital Changes (SEA),0000000010,Calc
11,Total Dividend Received,0000000011,Calc
12,Operating Cashflow,0000000012,Calc
13,Cash Capex,0000000013,Calc
14,Pre Tax Cash Flow,0000000014,Calc
15,Capital Employed,0000000015,Calc
16,Revenue Generating Total Prod (mboe),0000000016,Calc
