FullKey,Description,Sort Key,Statement,Type
0000002020,Total Production (mboed),1001,Production,System
0000000080,Oil Production (mb/d),1002,Production,System
0000000190,NGL Production (mb/d),1003,Production,System
0000000310,Gas Production (mmscf/d),1004,Production,System
0000003770,Revenue Generating Total Prod (mboed),1005,Production,System
0000000090,Oil - Non-Revenue Generating Prod (mbd),1006,Production,System
0000000200,NGL - Non-Revenue Generating Prod (mbd),1007,Production,System
0000000320,Gas - Non-Revenue Generating Prod (mmscfd),1008,Production,System
0000014411,Equity Accounted Total Production (mboed),1009,Production,System
0000014344,Equity Accounted Oil Production,1010,Production,System
0000014346,Equity Accounted NGL Production,1011,Production,System
0000014345,Equity Accounted Gas Production,1012,Production,System
0000000001,Liquids Production (mboed),1013,Production,Calc
0000000016,Revenue Generating Total Prod (mboe),1015,Production,Calc
0000000003,Gross Margin,2001,Income,Calc
0000000004,Total Cash Costs,2002,Income,Calc
0000000005,Production Costs,2003,Income,Calc
0000000008,EBITDA,2004,Income,Calc
0000000006,DD&A Charge,2005,Income,Calc
0000000007,Related Company Income,2006,Income,Calc
0000000009,Underlying RCOP,2007,Income,Calc
0000000010,Working Capital Changes (SEA),3001,Cashflow,Calc
0000000630,Decommissioning Payments,3002,Cashflow,System
0000014573,Lease Interest paid,3003,Cashflow,System
0000000011,Total Dividend Received,3004,Cashflow,Calc
0000000012,Operating Cashflow,3005,Cashflow,Calc
0000000013,Cash Capex,3006,Cashflow,Calc
0000001620,Cash Flow from Sale of Operations,3007,Cashflow,System
0000000014,Pre Tax Cash Flow,3008,Cashflow,Calc
0000000015,Capital Employed,4001,Balance Sheet,Calc
