Account ID,Description,FullKey,In FIN Data Flow,Needed,Type
100,Calculated Oil Turnover (Oil TO),0000000100,Yes,,
110,Oil TO Generated from Royalty Volumes,0000000110,Yes,,
120,Oil TO Generated from Purchase for Resale,0000000120,Yes,,
220,Calculated NGL Turnover (NGL TO),0000000220,Yes,,
230,NGL TO Generated from Royalty Volumes,0000000230,Yes,,
240,NGL TO Generated from Purchase for Resale,0000000240,Yes,,
340,Calculated Gas Turnover (Gas TO),0000000340,Yes,,
350,Gas TO Generated from Royalty Volumes,0000000350,Yes,,
360,Gas TO Generated from Purchase for Resale,0000000360,Yes,,
380,Tariff and Other Turnover,0000000380,Yes,,
420,Purchases,0000000420,Yes,,
430,Production Taxes Charged,0000000430,Yes,,
440,Royalty Charged,0000000440,Yes,,
450,Other Government Take Charged,0000000450,Yes,,
631,Exploration Write-off Dry Hole - Input,0000000631,Yes,,
640,Forex,0000000640,Yes,,
650,COSA,0000000650,Yes,,
660,Inventory,0000000660,Yes,,
670,Other Provisions,0000000670,Yes,,
690,Memo: Captive Insurance,0000000690,Yes,,
700,Impairment - Tangible Assets and other NOI,0000000700,Yes,,
730,Related Company Income- Gross,0000000730,Yes,,
750,Acretion of FRS 12 Provisions,0000000750,Yes,,
781,Profit/Loss on sale of operations,0000000781,Yes,,
790,Development Capex – D&C,0000000790,Yes,,
800,Development Capex – Other,0000000800,Yes,,
820,Inorganic Capex,0000000820,Yes,,
830,Capitalised Interest,0000000830,Yes,,
850,Production Costs – Operating,0000000850,Yes,,
870,Other Opex,0000000870,Yes,,
880,Production Costs – Revex,0000000880,Yes,,
890,E&A Cash Costs,0000000890,Yes,,
900,Other Revex,0000000900,Yes,,
910,Production Costs – Overheads,0000000910,Yes,,
920,Overheads,0000000920,Yes,,
921,Special Items - Cash Cost Ratex,0000000921,Yes,,
1190,COSA - copy 1 (reversed),0000001190,Yes,,
1220,E&A- Drilling,0000001220,Yes,,
1230,E&A- Other,0000001230,Yes,,
1240,Midstream Capex,0000001240,Yes,,
1250,Interest & Dividends Receivable,0000001250,Yes,,
1360,Payments from Other Provisions,0000001360,Yes,,
1380,Capitalised Interest Paid,0000001380,Yes,,
1390,Interest Received,0000001390,Yes,,
1600,Movement in Capex Creditors,0000001600,Yes,,
1690,Other Non Cash Items add back -Input,0000001690,Yes,,
1700,Intangible Assets NBV (excl. Goodwill),0000001700,Yes,,
1710,Tangible Assets NBV (excl. AUC),0000001710,Yes,,
1720,Investments NBV,0000001720,Yes,,
1730,M&T Cash Costs,0000001730,Yes,,
1870,Total Capex Creditors BS,0000001870,Yes,,
1890,Provision for Decommissioning,0000001890,Yes,,
1910,Other Provisions BS,0000001910,Yes,,
2030,Total Production (mboe),0000002030,Yes,,
2040,Pipeline Throughput (mboed),0000002040,Yes,,
2840,Other Income Input,0000002840,Yes,,
2920,Share of interest expense in Related Company,0000002920,Yes,,
3220,Oil - Marker Price Input line,0000003220,Yes,,
3250,Oil - Total differential Input line,0000003250,Yes,,
3260,Oil - Average Realisation Input line,0000003260,Yes,,
3270,NGL - Marker Price Input line,0000003270,Yes,,
3300,NGL - Total differential Input line,0000003300,Yes,,
3310,NGL - Average Realisation Input line,0000003310,Yes,,
3320,Gas - Marker Price Input line,0000003320,Yes,,
3350,Gas - Total differential Input line,0000003350,Yes,,
3360,Gas - Average Realisation Input line,0000003360,Yes,,
3760,Capitalised Interest Paid - copy 1 (reversed),0000003760,Yes,,
7020,Assets in the course of Construction (AUC),0000007020,Yes,,
8010,Exploration Write-off Dry Hole (BU Owned),0000008010,Yes,,
8890,OGT Inputs ($m),0000008890,Yes,,
8900,Total Creditors BS - b/f,0000008900,Yes,,
8920,Tangible Assets Movements,0000008920,Yes,,
8930,Intangible Assets Movements,0000008930,Yes,,
8940,AUC Movements,0000008940,Yes,,
8950,Investment Movements,0000008950,Yes,,
8960,Decom Provisions Movements,0000008960,Yes,,
