Account_Planning,Calendar_Year,Financial_Entity,Submission,MainPlan_Option,Renewal_Selection,Option_Tag,Common_Key_Figure
0000000080,2026,9000000003,00000000002020,M,,,2
0000000080,2026,9000000004,00000000002020,M,,,94
0000000080,2026,9000000005,00000000002020,M,,,8
0000000080,2026,9000000006,00000000002020,M,,,50
0000000080,2026,9000000007,00000000002020,M,,,14
0000000080,2026,9000000008,00000000002020,M,,,36
0000000080,2026,9000000009,00000000002020,M,,,0
0000000080,2026,9000000010,00000000002020,M,,,91
0000000080,2026,9000000011,00000000002020,M,,,16
0000000080,2026,9000000012,00000000002020,M,,,3
0000000080,2027,9000000003,00000000002020,M,,,2
0000000080,2027,9000000004,00000000002020,M,,,77
0000000080,2027,9000000005,00000000002020,M,,,8
0000000080,2027,9000000006,00000000002020,M,,,40
0000000080,2027,9000000007,00000000002020,M,,,15
0000000080,2027,9000000008,00000000002020,M,,,37
0000000080,2027,9000000009,00000000002020,M,,,0
0000000080,2027,9000000010,00000000002020,M,,,73
0000000080,2027,9000000011,00000000002020,M,,,18
0000000080,2027,9000000012,00000000002020,M,,,6
0000000080,2028,9000000003,00000000002020,M,,,0
0000000080,2028,9000000003,00000000002020,M,,,1
0000000080,2028,9000000004,00000000002020,M,,,14
0000000080,2028,9000000004,00000000002020,M,,,44
0000000080,2028,9000000005,00000000002020,M,,,1
0000000080,2028,9000000005,00000000002020,M,,,5
0000000080,2028,9000000006,00000000002020,M,,,7
0000000080,2028,9000000006,00000000002020,M,,,21
0000000080,2028,9000000007,00000000002020,M,,,3
0000000080,2028,9000000007,00000000002020,M,,,11
0000000080,2028,9000000008,00000000002020,M,,,9
0000000080,2028,9000000008,00000000002020,M,,,28
0000000080,2028,9000000009,00000000002020,M,,,0
0000000080,2028,9000000009,00000000002020,M,,,0
0000000080,2028,9000000010,00000000002020,M,,,14
0000000080,2028,9000000010,00000000002020,M,,,43
0000000080,2028,9000000011,00000000002020,M,,,3
0000000080,2028,9000000011,00000000002020,M,,,10
0000000080,2028,9000000012,00000000002020,M,,,1
0000000080,2028,9000000012,00000000002020,M,,,2
0000000080,2029,9000000003,00000000002020,M,,,1
0000000080,2029,9000000004,00000000002020,M,,,64
0000000080,2029,9000000005,00000000002020,M,,,6
0000000080,2029,9000000006,00000000002020,M,,,26
0000000080,2029,9000000007,00000000002020,M,,,13
0000000080,2029,9000000008,00000000002020,M,,,29
0000000080,2029,9000000010,00000000002020,M,,,70
0000000080,2029,9000000011,00000000002020,M,,,9
0000000080,2029,9000000012,00000000002020,M,,,5
0000000080,2030,9000000003,00000000002020,M,,,2
0000000080,2030,9000000004,00000000002020,M,,,59
0000000080,2030,9000000005,00000000002020,M,,,6
0000000080,2030,9000000006,00000000002020,M,,,25
0000000080,2030,9000000007,00000000002020,M,,,9
0000000080,2030,9000000008,00000000002020,M,,,38
0000000080,2030,9000000010,00000000002020,M,,,78
0000000080,2030,9000000011,00000000002020,M,,,6
0000000080,2030,9000000012,00000000002020,M,,,2
0000000080,2031,9000000003,00000000002020,M,,,2
0000000080,2031,9000000004,00000000002020,M,,,54
0000000080,2031,9000000005,00000000002020,M,,,6
0000000080,2031,9000000006,00000000002020,M,,,22
