[Year],[Metric],[Metric Sort],[Case],[Value]
2026,Total Production (mboed),1001,Project Blue Horizon |Main Plan,91
2026,Total Production (mboed),1001,Project Cedar Point |Manual,30
2026,Total Production (mboed),1001,Project Copper Bay |Main Plan,50
2026,Total Production (mboed),1001,Project Eagle Pass |Manual,30
2026,Total Production (mboed),1001,Project Granite Basin |Main Plan,37
2026,Total Production (mboed),1001,Project Highland Crest |Main Plan,15
2026,Total Production (mboed),1001,Project Ironwood |Main Plan,52
2026,Total Production (mboed),1001,Project Northstar |Main Plan,36
2026,Total Production (mboed),1001,Project Raven Rock |Main Plan,137
2026,Total Production (mboed),1001,Project Redcliff |Main Plan,94
2026,Total Production (mboed),1001,Project Silver Peak |Main Plan,94
2026,Total Production (mboed),1001,Project Stonehaven |Main Plan,23
2026,Oil Production (mb/d),1002,Project Blue Horizon |Main Plan,91
2026,Oil Production (mb/d),1002,Project Cedar Point |Manual,30
2026,Oil Production (mb/d),1002,Project Copper Bay |Main Plan,50
2026,Oil Production (mb/d),1002,Project Eagle Pass |Manual,30
2026,Oil Production (mb/d),1002,Project Granite Basin |Main Plan,8
2026,Oil Production (mb/d),1002,Project Highland Crest |Main Plan,0
2026,Oil Production (mb/d),1002,Project Ironwood |Main Plan,2
2026,Oil Production (mb/d),1002,Project Northstar |Main Plan,36
2026,Oil Production (mb/d),1002,Project Raven Rock |Main Plan,3
2026,Oil Production (mb/d),1002,Project Redcliff |Main Plan,14
2026,Oil Production (mb/d),1002,Project Silver Peak |Main Plan,94
2026,Oil Production (mb/d),1002,Project Stonehaven |Main Plan,16
2026,NGL Production (mb/d),1003,Project Cedar Point |Manual,0
2026,NGL Production (mb/d),1003,Project Eagle Pass |Manual,0
2026,NGL Production (mb/d),1003,Project Highland Crest |Main Plan,0
2026,NGL Production (mb/d),1003,Project Ironwood |Main Plan,2
2026,NGL Production (mb/d),1003,Project Redcliff |Main Plan,2
2026,NGL Production (mb/d),1003,Project Stonehaven |Main Plan,3
2026,Gas Production (mmscf/d),1004,Project Cedar Point |Manual,0
2026,Gas Production (mmscf/d),1004,Project Eagle Pass |Manual,0
2026,Gas Production (mmscf/d),1004,Project Granite Basin |Main Plan,165
2026,Gas Production (mmscf/d),1004,Project Highland Crest |Main Plan,84
2026,Gas Production (mmscf/d),1004,Project Ironwood |Main Plan,274
2026,Gas Production (mmscf/d),1004,Project Raven Rock |Main Plan,779
2026,Gas Production (mmscf/d),1004,Project Redcliff |Main Plan,446
2026,Gas Production (mmscf/d),1004,Project Stonehaven |Main Plan,20
2026,Revenue Generating Total Prod (mboed),1005,Project Blue Horizon |Main Plan,91
2026,Revenue Generating Total Prod (mboed),1005,Project Cedar Point |Manual,40
2026,Revenue Generating Total Prod (mboed),1005,Project Copper Bay |Main Plan,51
2026,Revenue Generating Total Prod (mboed),1005,Project Eagle Pass |Manual,40
2026,Revenue Generating Total Prod (mboed),1005,Project Granite Basin |Main Plan,37
2026,Revenue Generating Total Prod (mboed),1005,Project Highland Crest |Main Plan,15
2026,Revenue Generating Total Prod (mboed),1005,Project Ironwood |Main Plan,52
2026,Revenue Generating Total Prod (mboed),1005,Project Northstar |Main Plan,36
2026,Revenue Generating Total Prod (mboed),1005,Project Raven Rock |Main Plan,137
2026,Revenue Generating Total Prod (mboed),1005,Project Redcliff |Main Plan,84
2026,Revenue Generating Total Prod (mboed),1005,Project Silver Peak |Main Plan,94
2026,Revenue Generating Total Prod (mboed),1005,Project Stonehaven |Main Plan,23
2026,Oil - Non-Revenue Generating Prod (mbd),1006,Project Copper Bay |Main Plan,0
2026,Oil - Non-Revenue Generating Prod (mbd),1006,Project Highland Crest |Main Plan,0
2026,Oil - Non-Revenue Generating Prod (mbd),1006,Project Silver Peak |Main Plan,-1
2026,NGL - Non-Revenue Generating Prod (mbd),1007,Project Highland Crest |Main Plan,-1
2026,NGL - Non-Revenue Generating Prod (mbd),1007,Project Redcliff |Main Plan,-1
2026,Gas - Non-Revenue Generating Prod (mmscfd),1008,Project Highland Crest |Main Plan,-1
2026,Gas - Non-Revenue Generating Prod (mmscfd),1008,Project Redcliff |Main Plan,-56
2026,Equity Accounted Total Production (mboed),1009,Project Cedar Point |Manual,0
2026,Equity Accounted Total Production (mboed),1009,Project Eagle Pass |Manual,0
2026,Liquids Production (mboed),1013,Project Blue Horizon |Main Plan,91
2026,Liquids Production (mboed),1013,Project Cedar Point |Manual,30
2026,Liquids Production (mboed),1013,Project Copper Bay |Main Plan,50
2026,Liquids Production (mboed),1013,Project Eagle Pass |Manual,30
2026,Liquids Production (mboed),1013,Project Granite Basin |Main Plan,8
2026,Liquids Production (mboed),1013,Project Highland Crest |Main Plan,0
2026,Liquids Production (mboed),1013,Project Ironwood |Main Plan,4
2026,Liquids Production (mboed),1013,Project Northstar |Main Plan,36
2026,Liquids Production (mboed),1013,Project Raven Rock |Main Plan,3
2026,Liquids Production (mboed),1013,Project Redcliff |Main Plan,16
2026,Liquids Production (mboed),1013,Project Silver Peak |Main Plan,94
2026,Liquids Production (mboed),1013,Project Stonehaven |Main Plan,19
2026,Revenue Generating Total Prod (mboe),1015,Project Blue Horizon |Main Plan,33.215
2026,Revenue Generating Total Prod (mboe),1015,Project Copper Bay |Main Plan,18.615
2026,Revenue Generating Total Prod (mboe),1015,Project Granite Basin |Main Plan,13.505
2026,Revenue Generating Total Prod (mboe),1015,Project Highland Crest |Main Plan,5.475
2026,Revenue Generating Total Prod (mboe),1015,Project Ironwood |Main Plan,18.98
2026,Revenue Generating Total Prod (mboe),1015,Project Northstar |Main Plan,13.14
2026,Revenue Generating Total Prod (mboe),1015,Project Raven Rock |Main Plan,50.005
2026,Revenue Generating Total Prod (mboe),1015,Project Redcliff |Main Plan,30.66
2026,Revenue Generating Total Prod (mboe),1015,Project Silver Peak |Main Plan,34.31
2026,Revenue Generating Total Prod (mboe),1015,Project Stonehaven |Main Plan,8.395
2026,Gross Margin,2001,Project Blue Horizon |Main Plan,1250
2026,Gross Margin,2001,Project Cedar Point |Manual,1340
2026,Gross Margin,2001,Project Copper Bay |Main Plan,781
2026,Gross Margin,2001,Project Eagle Pass |Manual,1340
2026,Gross Margin,2001,Project Granite Basin |Main Plan,326
2026,Gross Margin,2001,Project Highland Crest |Main Plan,108
2026,Gross Margin,2001,Project Ironwood |Main Plan,367
2026,Gross Margin,2001,Project Northstar |Main Plan,516
2026,Gross Margin,2001,Project Raven Rock |Main Plan,225
2026,Gross Margin,2001,Project Redcliff |Main Plan,1016
2026,Gross Margin,2001,Project Silver Peak |Main Plan,1516
2026,Gross Margin,2001,Project Stonehaven |Main Plan,352
2026,Total Cash Costs,2002,Project Blue Horizon |Main Plan,-308
2026,Total Cash Costs,2002,Project Cedar Point |Manual,-270
2026,Total Cash Costs,2002,Project Copper Bay |Main Plan,-207
2026,Total Cash Costs,2002,Project Eagle Pass |Manual,-270
2026,Total Cash Costs,2002,Project Granite Basin |Main Plan,-147
2026,Total Cash Costs,2002,Project Highland Crest |Main Plan,-79
