[Country],[Country Key],[Year],[ETR],[CTR]
Eastern Province,90001,2026,0.464234484,0.4179843
Eastern Province,90001,2027,0.415107559,0.456106112
Eastern Province,90001,2028,0.460745465,0.449036784
Eastern Province,90001,2029,0.463426612,0.466692365
Eastern Province,90001,2030,0.450239274,0.452772398
Eastern Province,90001,2031,0.445435278,0.473678364
Eastern Province,90001,2032,0.431623356,0.449148082
Eastern Province,90001,2033,0.424878829,0.416200905
Eastern Province,90001,2034,0.424810699,0.408826446
Eastern Province,90001,2035,0.430684882,0.431224505
Eastern Province,90001,2036,0.450469029,0.44980739
Eastern Province,90001,2037,0.451119829,0.451774017
Eastern Province,90001,2038,0.435693721,0.436305993
Eastern Province,90001,2039,0.418086461,0.419380859
Eastern Province,90001,2040,0.433709363,0.435343082
Falcon Region,90002,2026,0.464234484,0.4179843
Falcon Region,90002,2027,0.415107559,0.456106112
Falcon Region,90002,2028,0.460745465,0.449036784
Falcon Region,90002,2029,0.463426612,0.466692365
Falcon Region,90002,2030,0.450239274,0.452772398
Falcon Region,90002,2031,0.445435278,0.473678364
Falcon Region,90002,2032,0.431623356,0.449148082
Falcon Region,90002,2033,0.424878829,0.416200905
Falcon Region,90002,2034,0.424810699,0.408826446
Falcon Region,90002,2035,0.430684882,0.431224505
Falcon Region,90002,2036,0.450469029,0.44980739
Falcon Region,90002,2037,0.451119829,0.451774017
Falcon Region,90002,2038,0.435693721,0.436305993
Falcon Region,90002,2039,0.418086461,0.419380859
Falcon Region,90002,2040,0.433709363,0.435343082
Falcon Block,90003,2026,0.464234484,0.4179843
Falcon Block,90003,2027,0.415107559,0.456106112
Falcon Block,90003,2028,0.460745465,0.449036784
Falcon Block,90003,2029,0.463426612,0.466692365
Falcon Block,90003,2030,0.450239274,0.452772398
Falcon Block,90003,2031,0.445435278,0.473678364
Falcon Block,90003,2032,0.431623356,0.449148082
Falcon Block,90003,2033,0.424878829,0.416200905
Falcon Block,90003,2034,0.424810699,0.408826446
Falcon Block,90003,2035,0.430684882,0.431224505
Falcon Block,90003,2036,0.450469029,0.44980739
Falcon Block,90003,2037,0.451119829,0.451774017
Falcon Block,90003,2038,0.435693721,0.436305993
Falcon Block,90003,2039,0.418086461,0.419380859
Falcon Block,90003,2040,0.433709363,0.435343082
Coastal Republic,90004,2026,0.464234484,0.4179843
Coastal Republic,90004,2027,0.415107559,0.456106112
Coastal Republic,90004,2028,0.460745465,0.449036784
Coastal Republic,90004,2029,0.463426612,0.466692365
Coastal Republic,90004,2030,0.450239274,0.452772398
Coastal Republic,90004,2031,0.445435278,0.473678364
Coastal Republic,90004,2032,0.431623356,0.449148082
Coastal Republic,90004,2033,0.424878829,0.416200905
Coastal Republic,90004,2034,0.424810699,0.408826446
Coastal Republic,90004,2035,0.430684882,0.431224505
Coastal Republic,90004,2036,0.450469029,0.44980739
Coastal Republic,90004,2037,0.451119829,0.451774017
Coastal Republic,90004,2038,0.435693721,0.436305993
Coastal Republic,90004,2039,0.418086461,0.419380859
Coastal Republic,90004,2040,0.433709363,0.435343082
Southern Coast,90005,2026,0.464234484,0.4179843
Southern Coast,90005,2027,0.415107559,0.456106112
Southern Coast,90005,2028,0.460745465,0.449036784
Southern Coast,90005,2029,0.463426612,0.466692365
Southern Coast,90005,2030,0.450239274,0.452772398
Southern Coast,90005,2031,0.445435278,0.473678364
Southern Coast,90005,2032,0.431623356,0.449148082
Southern Coast,90005,2033,0.424878829,0.416200905
Southern Coast,90005,2034,0.424810699,0.408826446
Southern Coast,90005,2035,0.430684882,0.431224505
Southern Coast,90005,2036,0.450469029,0.44980739
Southern Coast,90005,2037,0.451119829,0.451774017
Southern Coast,90005,2038,0.435693721,0.436305993
Southern Coast,90005,2039,0.418086461,0.419380859
Southern Coast,90005,2040,0.433709363,0.435343082
Meridian Region,90006,2026,0.464234484,0.4179843
Meridian Region,90006,2027,0.415107559,0.456106112
Meridian Region,90006,2028,0.460745465,0.449036784
Meridian Region,90006,2029,0.463426612,0.466692365
Meridian Region,90006,2030,0.450239274,0.452772398
Meridian Region,90006,2031,0.445435278,0.473678364
Meridian Region,90006,2032,0.431623356,0.449148082
Meridian Region,90006,2033,0.424878829,0.416200905
Meridian Region,90006,2034,0.424810699,0.408826446
Meridian Region,90006,2035,0.430684882,0.431224505
Meridian Region,90006,2036,0.450469029,0.44980739
Meridian Region,90006,2037,0.451119829,0.451774017
Meridian Region,90006,2038,0.435693721,0.436305993
Meridian Region,90006,2039,0.418086461,0.419380859
Meridian Region,90006,2040,0.433709363,0.435343082
Desert Province,90007,2026,0.464234484,0.4179843
Desert Province,90007,2027,0.415107559,0.456106112
Desert Province,90007,2028,0.460745465,0.449036784
Desert Province,90007,2029,0.463426612,0.466692365
Desert Province,90007,2030,0.450239274,0.452772398
Desert Province,90007,2031,0.445435278,0.473678364
Desert Province,90007,2032,0.431623356,0.449148082
Desert Province,90007,2033,0.424878829,0.416200905
Desert Province,90007,2034,0.424810699,0.408826446
Desert Province,90007,2035,0.430684882,0.431224505
Desert Province,90007,2036,0.450469029,0.44980739
