[Metric],[Case],[Total 5Y],[Average 5Y],[2026],[2027],[2028],[2029],[2030]
Capital Employed,Project Blue Horizon |Main Plan,907,181.4,223,,361,211,112
Capital Employed,Project Cedar Point |Manual,13780,2756,3020,2790,2670,2720,2580
Capital Employed,Project Copper Bay |Main Plan,4873,974.6,1643,1182,857,669,522
Capital Employed,Project Eagle Pass |Manual,13780,2756,3020,2790,2670,2720,2580
Capital Employed,Project Granite Basin |Main Plan,2670,534,700,648,594,424,304
Capital Employed,Project Highland Crest |Main Plan,8888,1777.6,835,748,2490,2430,2385
Capital Employed,Project Ironwood |Main Plan,3708,741.6,1032,743,679,707,547
Capital Employed,Project Northstar |Main Plan,3141,628.2,962,801,564,505,309
Capital Employed,Project Raven Rock |Main Plan,249,49.8,,,176,131,-58
Capital Employed,Project Redcliff |Main Plan,6332,1266.4,1764,1418,1228,1016,906
Capital Employed,Project Silver Peak |Main Plan,19361,3872.2,3820,4256,4235,3790,3260
Capital Employed,Project Stonehaven |Main Plan,1047,209.4,772,330,134,-39,-150
Cash Capex,Project Blue Horizon |Main Plan,-2938,-587.6,-589,-583,-442,-606,-718
Cash Capex,Project Cedar Point |Manual,-2300,-460,-480,-480,-500,-430,-410
Cash Capex,Project Copper Bay |Main Plan,-51,-10.2,-42,-2,19,-9,-17
Cash Capex,Project Eagle Pass |Manual,-2300,-460,-480,-480,-500,-430,-410
Cash Capex,Project Granite Basin |Main Plan,-234,-46.8,-55,-51,-50,-43,-35
Cash Capex,Project Highland Crest |Main Plan,-64,-12.8,-46,-12,-6,,
Cash Capex,Project Ironwood |Main Plan,-647,-129.4,-154,-46,-185,-203,-59
Cash Capex,Project Northstar |Main Plan,-608,-121.6,-158,-83,-93,-207,-67
Cash Capex,Project Raven Rock |Main Plan,-819,-163.8,-168,-324,-161,-143,-23
Cash Capex,Project Redcliff |Main Plan,-559,-111.8,-129,-74,-102,-132,-122
Cash Capex,Project Silver Peak |Main Plan,-4735,-947,-512,-1835,-1740,-333,-315
Cash Capex,Project Stonehaven |Main Plan,-132,-26.4,-16,-92,-23,-1,
Cash Flow from Sale of Operations,Project Cedar Point |Manual,0,0,0,0,0,0,0
Cash Flow from Sale of Operations,Project Eagle Pass |Manual,0,0,0,0,0,0,0
DD&A Charge,Project Blue Horizon |Main Plan,-3432,-686.4,-753,-552,-660,-686,-781
DD&A Charge,Project Cedar Point |Manual,-3290,-658,-610,-690,-700,-660,-630
DD&A Charge,Project Copper Bay |Main Plan,-1780,-356,-440,-447,-324,-299,-270
DD&A Charge,Project Eagle Pass |Manual,-3290,-658,-610,-690,-700,-660,-630
DD&A Charge,Project Granite Basin |Main Plan,-558,-111.6,-55,-52,-104,-188,-159
DD&A Charge,Project Highland Crest |Main Plan,-811,-162.2,-290,-322,-99,-53,-47
DD&A Charge,Project Ironwood |Main Plan,-1355,-271,-334,-361,-265,-177,-218
DD&A Charge,Project Northstar |Main Plan,-1258,-251.6,-241,-239,-293,-217,-268
DD&A Charge,Project Raven Rock |Main Plan,-735,-147,-144,-88,-140,-210,-153
DD&A Charge,Project Redcliff |Main Plan,-1711,-342.2,-325,-423,-369,-327,-267
DD&A Charge,Project Silver Peak |Main Plan,-4105,-821,-1041,-855,-713,-780,-716
DD&A Charge,Project Stonehaven |Main Plan,-1056,-211.2,-184,-340,-248,-177,-107
Decommissioning Payments,Project Cedar Point |Manual,-380,-76,-10,0,-120,-120,-130
Decommissioning Payments,Project Copper Bay |Main Plan,-229,-45.8,-13,2,0,-125,-93
Decommissioning Payments,Project Eagle Pass |Manual,-380,-76,-10,0,-120,-120,-130
Decommissioning Payments,Project Raven Rock |Main Plan,-76,-15.2,,-1,-75,,
Decommissioning Payments,Project Redcliff |Main Plan,-8,-1.6,-3,-1,-1,-1,-2
Decommissioning Payments,Project Stonehaven |Main Plan,-68,-13.6,-51,-1,-5,-3,-8
EBITDA,Project Blue Horizon |Main Plan,4879,975.8,942,914,935,974,1114
EBITDA,Project Cedar Point |Manual,4840,968,1070,910,990,950,920
EBITDA,Project Copper Bay |Main Plan,2429,485.8,574,641,509,344,361
EBITDA,Project Eagle Pass |Manual,4840,968,1070,910,990,950,920
EBITDA,Project Granite Basin |Main Plan,871,174.2,179,199,198,162,133
EBITDA,Project Highland Crest |Main Plan,521,104.2,600,-2,-39,-31,-7
EBITDA,Project Ironwood |Main Plan,1796,359.2,324,465,409,261,337
EBITDA,Project Northstar |Main Plan,1953,390.6,144,412,620,302,475
EBITDA,Project Raven Rock |Main Plan,2347,469.4,152,546,442,687,520
EBITDA,Project Redcliff |Main Plan,4446,889.2,811,895,1149,892,699
EBITDA,Project Silver Peak |Main Plan,5818,1163.6,1161,1254,1179,1144,1080
EBITDA,Project Stonehaven |Main Plan,991,198.2,203,331,261,142,54
Equity Accounted NGL Production,Project Ironwood |Main Plan,-12,-2.4,,,-4,-4,-4
Equity Accounted Total Production (mboed),Project Cedar Point |Manual,0,0,0,0,0,0,0
Equity Accounted Total Production (mboed),Project Eagle Pass |Manual,0,0,0,0,0,0,0
Equity Accounted Total Production (mboed),Project Ironwood |Main Plan,-12,-2.4,,,-4,-4,-4
Gas - Non-Revenue Generating Prod (mmscfd),Project Highland Crest |Main Plan,-1,-0.2,-1,,,,
Gas - Non-Revenue Generating Prod (mmscfd),Project Redcliff |Main Plan,-224,-44.8,-56,-58,-38,-36,-36
Gas Production (mmscf/d),Project Cedar Point |Manual,40,8,0,10,10,10,10
Gas Production (mmscf/d),Project Eagle Pass |Manual,40,8,0,10,10,10,10
Gas Production (mmscf/d),Project Granite Basin |Main Plan,729,145.8,165,156,138,142,128
Gas Production (mmscf/d),Project Highland Crest |Main Plan,173,34.6,84,59,26,4,
Gas Production (mmscf/d),Project Ironwood |Main Plan,1184,236.8,274,306,246,160,198
Gas Production (mmscf/d),Project Northstar |Main Plan,2,0.4,,0,1,1,
Gas Production (mmscf/d),Project Raven Rock |Main Plan,3502,700.4,779,875,685,679,484
Gas Production (mmscf/d),Project Redcliff |Main Plan,2059,411.8,446,426,442,404,341
Gas Production (mmscf/d),Project Stonehaven |Main Plan,76,15.2,20,18,8,17,13
