CaseID,Year,Production,Revenue,OPEX,CAPEX,PreTaxCashflow
CASE001,2026,110.29,5162.6,1400.32,256.73,3505.5500000000006
CASE001,2027,85.39,5521.17,1397.36,221.86,3901.9500000000003
CASE001,2028,93.4,4947.96,1357.84,34.17,3555.95
CASE001,2029,90.78,5287.15,1205.58,28.63,4052.9399999999996
CASE001,2030,92.63,4809.36,1161.55,32.99,3614.8199999999997
CASE001,2031,71.87,4512.48,1042.62,33.18,3436.68
CASE001,2032,76.58,3787.44,1015.1,33.67,2738.67
CASE001,2033,75.63,3613.33,1052.51,31.93,2528.89
CASE001,2034,64.65,3608.32,889.86,33.76,2684.7
CASE001,2035,67.11,3367.21,928.01,36.23,2402.97
CASE001,2036,0.0,0.0,0.0,0.0,0.0
CASE001,2037,0.0,0.0,0.0,0.0,0.0
CASE001,2038,0.0,0.0,0.0,0.0,0.0
CASE001,2039,0.0,0.0,0.0,0.0,0.0
CASE001,2040,0.0,0.0,0.0,0.0,0.0
CASE002,2026,102.44,5486.52,1314.08,252.41,3920.0300000000007
CASE002,2027,82.19,5267.33,1227.88,195.63,3843.8199999999997
CASE002,2028,102.01,4714.34,1279.65,28.11,3406.58
CASE002,2029,76.99,4837.63,1249.13,28.75,3559.75
CASE002,2030,85.88,4750.96,1163.59,33.84,3553.5299999999997
CASE002,2031,78.35,4216.94,1096.19,41.23,3079.5199999999995
CASE002,2032,78.59,4415.46,998.24,32.18,3385.0400000000004
CASE002,2033,77.91,3729.37,1096.35,36.51,2596.5099999999998
CASE002,2034,68.02,3898.82,924.94,35.75,2938.13
CASE002,2035,67.81,3819.39,928.59,37.29,2853.5099999999998
CASE002,2036,58.99,3355.28,783.74,34.84,2536.7
CASE002,2037,57.94,3310.79,848.12,35.05,2427.62
CASE002,2038,49.99,2963.67,692.64,30.03,2241.0
CASE002,2039,0.0,0.0,0.0,0.0,0.0
CASE002,2040,0.0,0.0,0.0,0.0,0.0
CASE003,2026,0.0,0.0,0.0,0.0,0.0
CASE003,2027,95.45,4965.83,1430.34,232.38,3303.1099999999997
CASE003,2028,92.34,5228.79,1414.9,205.96,3607.93
CASE003,2029,98.7,5349.82,1373.69,33.3,3942.8299999999995
CASE003,2030,81.06,4502.75,1253.68,39.97,3209.1
CASE003,2031,75.22,4701.52,1173.39,29.64,3498.4900000000002
CASE003,2032,68.04,4466.7,1227.51,37.8,3201.3899999999994
CASE003,2033,66.1,4590.61,1167.8,33.22,3389.5899999999997
CASE003,2034,71.05,4138.06,990.72,37.48,3109.86
CASE003,2035,70.15,3561.78,939.52,41.01,2581.25
CASE003,2036,62.83,3175.98,940.04,29.95,2205.9900000000002
CASE003,2037,52.34,3040.53,796.7,41.27,2202.56
CASE003,2038,62.33,3047.55,742.33,38.39,2266.8300000000004
CASE003,2039,48.85,3122.09,760.94,37.77,2323.38
CASE003,2040,47.26,2668.64,674.32,32.84,1961.4799999999998
CASE004,2026,105.51,5573.78,1293.46,228.52,4051.7999999999997
CASE004,2027,95.93,4958.03,1453.25,231.62,3273.16
CASE004,2028,82.21,5331.59,1397.04,31.34,3903.21
CASE004,2029,76.75,4427.77,1157.29,35.89,3234.5900000000006
CASE004,2030,87.94,4413.17,1221.02,39.15,3153.0
CASE004,2031,68.88,4790.41,1180.8,32.58,3577.0299999999997
CASE004,2032,77.58,3843.52,1082.84,30.56,2730.1200000000003
CASE004,2033,69.52,4192.63,956.43,29.05,3207.15
CASE004,2034,59.48,3379.31,988.57,38.18,2352.56
CASE004,2035,54.41,3206.94,848.0,30.93,2328.01
CASE004,2036,68.84,3610.8,882.34,29.44,2699.02
CASE004,2037,0.0,0.0,0.0,0.0,0.0
CASE004,2038,0.0,0.0,0.0,0.0,0.0
CASE004,2039,0.0,0.0,0.0,0.0,0.0
CASE004,2040,0.0,0.0,0.0,0.0,0.0
CASE005,2026,0.0,0.0,0.0,0.0,0.0
CASE005,2027,0.0,0.0,0.0,0.0,0.0
CASE005,2028,89.56,5355.37,1450.77,207.37,3697.23
CASE005,2029,88.12,5461.6,1250.92,182.59,4028.09
CASE005,2030,90.33,5242.76,1305.37,36.33,3901.0600000000004
CASE005,2031,81.53,5218.23,1240.54,33.56,3944.1299999999997
CASE005,2032,93.91,4243.2,1125.34,32.74,3085.12
CASE005,2033,78.86,4181.86,1025.42,39.45,3116.99
CASE005,2034,81.42,3793.44,1073.08,36.41,2683.9500000000003
CASE005,2035,65.67,4344.19,1080.6,29.42,3234.1699999999996
CASE005,2036,66.25,3734.36,979.94,35.15,2719.27
CASE005,2037,67.68,3659.72,900.58,37.41,2721.73
CASE005,2038,56.66,3104.22,860.46,28.1,2215.66
CASE005,2039,56.11,3266.48,839.87,31.4,2395.21
CASE005,2040,55.4,2922.62,767.27,36.31,2119.04
